ELEVACION,LATITUD,LONGITUD
Cerro La Canada,14.1,-88.73333
Cerro La Montanita,14.15,-89.18333
Cerro La Montana,13.78333,-88.5
Cerro La Mision,13.25,-88.26667
Cerro La Mesa,13.71667,-87.83333
Cerro La Majada,14.26667,-89.38333
Cerro La Lucha,13.98333,-89.3
Cerro La Loma,13.86667,-88.73333
Cerro La Leona,13.8,-87.83333
Cerro La Lechuza,13.71667,-87.91667
Cerro La Jojona,13.63333,-88.33333
Montana La Hulera,13.43333,-89.06667
Cerro La Hedionda,13.95,-89.21667
Cerro Laguna Verde,13.9,-89.78333
Cerro La Gueguecha,13.51667,-88.31667
Cerro La Garrocha,13.365,-88.03778
Cerro La Esperanza,14,-89.53333
Cerro La Escoba,13.45,-87.86667
Cerro La Danta,13.38333,-87.96667
Loma La Culebra,14.32611,-89.59056
Cerro La Cruz,13.30361,-88.13694
Cerro La Crucita,13.98333,-88.11667
Loma La Chaparrosa,13.63333,-87.78333
Cerro La Cebadilla,13.6,-88.01667
Cerro La Campana,13.83333,-88.26667
Cerro La Caja,14,-89.08333
Cerro La Burrona,13.58333,-88.06667
Cerro La Berberia,13.3,-88
Loma La Arana,13.6,-87.96667
Cerro El Junquillo,14.33333,-89.58333
Cerro Juana Pancha,13.37389,-87.96444
Cerro Joya Grande,14.08333,-89.68333
Cerro Jaltepeque,13.55,-88.73333
Cerro Izcanalito,13.86667,-88.53333
Volcan de Izalco,13.81358,-89.63247
Cerro Gueripe,13.75,-87.76667
Volcan de Guazapa,13.89611,-89.12056
Cerro Guayzungue,13.81667,-87.88333
Cerro Guaycume,13.8375,-89.16667
Cerro Guascanal,13.76667,-87.91667
Cerro Guacamayero,13.85,-89.58333
Cerro Grande,13.88333,-88.61667
Cerro Gigante,13.93333,-88.15
Cerro Gavilan,14.11667,-89.1
Cerro Feliciano,13.83333,-88.75
Cerro Evaristo,13.19056,-87.71917
Cerro Eramon,14.03333,-88.76667
Cerro El Zope,14.01667,-89.43333
Cerro El Zapote,13.86278,-87.90889
Cerro El Volcan de Torola,13.93333,-88.23333
Cerro El Volcancillo,14.13333,-88.9
Cerro El Trueno,13.58333,-87.95
Cerro El Tizate,13.73333,-88.03333
Cerro El Tigre,13.46667,-88.43333
Cerro El Teosinte,14.15,-89.36667
Cerro El Tenidero,13.61667,-88.28333
Cerro El Tecacaste,13.7,-89.45
Loma El Tacuazin,13.48333,-89.23333
Cerro El Taburete,13.43333,-88.53333
Cerro El Tablon,13.56667,-88.23333
Cerro El Sillon,13.56667,-88.18333
Cerro El Salitre,14.01667,-89.4
Cerro El Rosario,13.52139,-89.005
Cerro El Retiro,13.89806,-89.64889
Cerro El Pulpito,13.51667,-88.7
Cerro El Pozo,13.65,-88.61667
Cerro El Portillo,13.58333,-87.91667
Cerro El Playon,13.81472,-89.33389
Cerro El Platanar,13.61667,-87.8
Cerro El Piche,13.38333,-88.11667
Cerro El Picacho,13.78333,-88.13333
Cerro El Penon,13.61667,-87.75
Cerro El Pavon,13.63333,-88.01667
Cerro El Pason,13.86667,-88.43333
Cerro El Panecito,13.27556,-88.18917
Cerro El Pajarito,13.51667,-89.43333
Cerro El Pajal,13.53333,-88.71667
Cerro El Pacun,13.61667,-88.26667
Cerro El Pacayal,13.46667,-88.33333
Cerro El Oregano,13.75,-88.7
Cerro El Oratorio,13.6,-89.78333
Cerro El Ocote,13.81972,-87.79194
Cerro El Nispero,13.23333,-88.2
Cerro El Negro,13.84611,-87.91833
Loma El Morro,13.63333,-89.11667
Cerro El Morrion,13.8,-88.6
Cerro El Moro Ali,14.13333,-89.06667
Cerro El Mono,13.21694,-88.24167
Loma El Mirador,13.63333,-89.11667
Cerro El Matadero,14.33333,-89.53333
Cerro El Mario,13.85,-88.45
Cerro El Mamey,14.41667,-89.56667
Cerro El Llanote,14.15,-89.28333
Cerro El Limbo,13.46667,-88.33333
Cerro El Jute,13.51667,-88.05
Cerro El Justan,13.71667,-87.86667
Cerro El Jiote,13.93333,-88.96667
Cerro El Hormiguero,14.16667,-89.35
Cerro El Higo,14.15,-89.23333
Cerro El Guiliguiste,13.5,-87.86667
Cerro El Guazimal,13.26667,-88
Cerro El Gavilan,13.73333,-87.8
Cerro El Garrobo,13.93333,-88.08333
Loma El Garrobal,13.63333,-88.31667
Cerro El Espino,13.53333,-87.93333
Cerro El Escorpion,13.8,-87.95
Cerro El Escalon,13.86667,-89
Loma El Divisadero,13.26528,-88.06583
Cerro El Cucurucho,14.11667,-88.8
Cerro El Cristo,13.66667,-88.28333
Cerro El Coyote,13.51667,-88.25
Cerro El Coyol,13.81667,-88.13333
Cerro El Corte,13.6,-89.76667
Cerro El Cimarron,13.56667,-88.4
Cerro El Chicharron,13.26056,-88.01972
Cerro El Chaparro,13.51667,-87.81667
Cerro El Chaparral,13.86667,-88.35
Cerro El Chacho,13.73333,-88.35
Cerro El Cerron,13.83333,-88.16667
Cerro El Cerrito,13.86667,-89.8
El Cerrito Balastrera,13.81667,-89.26472
Cerro El Carmen,13.73333,-89
Loma El Carbon,13.51667,-87.85
Cerro El Caramelo,13.88333,-89.43333
Cerro El Capullo,14.16667,-89.38333
Cerro El Capulin,13.28944,-88.10972
Cerro El Cacalote,13.86667,-87.75
Cerro Brujo,14.43333,-89.38333
Cerro El Brujo,13.96667,-88.61667
Loma El Bautisterio,13.53333,-89.46667
Cerro El Aguacate,13.84056,-87.97528
Loma Cuesta del Burro,13.65,-89.1
Cerro El Cuervo,13.87861,-89.45222
Cerro Crucitas,14.15,-89.1
Cerro Coyote,13.86667,-87.81667
Cerro Coronado,13.56667,-87.85
Cerro Copante,13.81667,-88.5
Cerro Con Hombros,13.56667,-87.95
Volcan Conchagua,13.27611,-87.84611
Loma de Comalapa,13.6,-89.1
Cerro Colorado,13.68333,-88.38333
Cerro Cinotepec,14,-89.25
Cerro Cimarron,13.50528,-87.75778
Cerro Chuchutepeque,13.76667,-89.06667
Cerro de Chiripa,13.21722,-88.20833
Cerro Chiquimula,13.56667,-89.51667
Cerro Chiquera,13.81667,-88.6
Cerro Chino,13.98333,-88.66667
Volcan Chingo,14.11667,-89.73333
Cerro Chinchiquilaya,14.03333,-89.38333
Cerro Chichilco,14.1,-88.81667
Cerro Chepe,14.36667,-89.53333
Cerro Chato,13.86667,-87.86667
Cerro Chamula,14.01667,-89.46667
Cerro Cetoca,13.88333,-88.18333
Cerro de Catancha,13.86667,-88.03333
Montana del Carrizal,14.16667,-89.38333
Cerro Camones,14.05,-89.48333
Cerro Camalotillo,14.31028,-89.52472
Cerro Cachio,13.9,-89.75
