('2/9/2017,22:50', 0.4129999923706055, 27.399999618530273, 0.425, 27.700000762939453)
('2/9/2017,23:0', 0.4179999923706055, 27.399999618530273, 0.4229999923706055, 27.600000381469727)
('2/9/2017,23:10', 0.40900001525878904, 27.399999618530273, 0.4229999923706055, 27.600000381469727)
('2/9/2017,23:20', 0.41, 27.200000762939453, 0.42400001525878905, 27.299999237060547)
('2/9/2017,23:30', 0.41700000762939454, 27.0, 0.42400001525878905, 27.299999237060547)
('2/9/2017,23:40', 0.41700000762939454, 27.0, 0.43099998474121093, 27.200000762939453)
('2/9/2017,23:50', 0.41900001525878905, 26.899999618530273, 0.42900001525878906, 26.899999618530273)
('2/10/2017,0:0', 0.41700000762939454, 26.899999618530273, 0.42900001525878906, 26.899999618530273)
('2/10/2017,0:10', 0.4179999923706055, 26.799999237060547, 0.42900001525878906, 26.899999618530273)
('2/10/2017,0:20', 0.41700000762939454, 26.700000762939453, 0.4279999923706055, 26.799999237060547)
('2/10/2017,0:30', 0.42, 26.700000762939453, 0.43099998474121093, 26.799999237060547)
('2/10/2017,0:40', 0.42400001525878905, 26.600000381469727, 0.43599998474121093, 26.600000381469727)
('2/10/2017,0:50', 0.43, 26.5, 0.44, 26.5)
('2/10/2017,1:0', 0.44, 26.299999237060547, 0.44, 26.5)
('2/10/2017,1:10', 0.44, 26.299999237060547, 0.4540000152587891, 26.299999237060547)
('2/10/2017,1:20', 0.4420000076293945, 26.100000381469727, 0.45299999237060545, 26.200000762939453)
('2/10/2017,1:30', 0.44299999237060544, 26.0, 0.4540000152587891, 26.0)
('2/10/2017,1:40', 0.44299999237060544, 26.0, 0.45099998474121095, 26.0)
('2/10/2017,1:50', 0.44099998474121094, 26.0, 0.45, 26.0)
('2/10/2017,2:0', 0.4420000076293945, 25.899999618530273, 0.45099998474121095, 25.899999618530273)
('2/10/2017,2:10', 0.44099998474121094, 25.899999618530273, 0.45, 25.899999618530273)
('2/10/2017,2:20', 0.41400001525878904, 25.799999237060547, 0.43400001525878906, 25.799999237060547)
('2/10/2017,2:30', 0.41400001525878904, 25.799999237060547, 0.42400001525878905, 25.799999237060547)
('2/10/2017,2:40', 0.40900001525878904, 25.700000762939453, 0.4209999847412109, 25.700000762939453)
('2/10/2017,2:50', 0.40799999237060547, 25.700000762939453, 0.4209999847412109, 25.700000762939453)
('2/10/2017,3:0', 0.4109999847412109, 25.600000381469727, 0.4259999847412109, 25.600000381469727)
('2/10/2017,3:10', 0.41400001525878904, 25.600000381469727, 0.42900001525878906, 25.600000381469727)
('2/10/2017,3:20', 0.4179999923706055, 25.5, 0.42900001525878906, 25.600000381469727)
('2/10/2017,3:30', 0.42700000762939455, 25.399999618530273, 0.4379999923706055, 25.399999618530273)
('2/10/2017,3:40', 0.4259999847412109, 25.399999618530273, 0.4379999923706055, 25.399999618530273)
('2/10/2017,3:50', 0.425, 25.399999618530273, 0.4370000076293945, 25.399999618530273)
('2/10/2017,4:0', 0.4259999847412109, 25.399999618530273, 0.4370000076293945, 25.399999618530273)
('2/10/2017,4:10', 0.42400001525878905, 25.200000762939453, 0.435, 25.399999618530273)
('2/10/2017,4:20', 0.42400001525878905, 25.200000762939453, 0.4379999923706055, 25.200000762939453)
('2/10/2017,4:30', 0.42900001525878906, 25.200000762939453, 0.43900001525878907, 25.200000762939453)
('2/10/2017,4:40', 0.43, 25.200000762939453, 0.44, 25.200000762939453)
('2/10/2017,4:50', 0.43099998474121093, 25.100000381469727, 0.445, 25.100000381469727)
('2/10/2017,5:0', 0.43599998474121093, 25.100000381469727, 0.44400001525878907, 25.100000381469727)
('2/10/2017,5:10', 0.42700000762939455, 25.100000381469727, 0.43200000762939456, 25.0)
('2/10/2017,5:20', 0.42200000762939455, 25.0, 0.43200000762939456, 25.0)
('2/10/2017,5:30', 0.4209999847412109, 24.899999618530273, 0.43400001525878906, 25.0)
('2/10/2017,5:40', 0.425, 24.899999618530273, 0.4370000076293945, 25.0)
('2/10/2017,5:50', 0.42400001525878905, 24.899999618530273, 0.43900001525878907, 25.0)
('2/10/2017,6:0', 0.42700000762939455, 24.899999618530273, 0.43900001525878907, 24.899999618530273)
('2/10/2017,6:10', 0.4279999923706055, 24.899999618530273, 0.43900001525878907, 24.899999618530273)
('2/10/2017,6:20', 0.43, 24.799999237060547, 0.44099998474121094, 24.899999618530273)
('2/10/2017,6:30', 0.43, 24.799999237060547, 0.4470000076293945, 24.899999618530273)
('2/10/2017,6:40', 0.43599998474121093, 24.799999237060547, 0.4540000152587891, 24.899999618530273)
('2/10/2017,6:50', 0.445, 24.799999237060547, 0.4540000152587891, 24.899999618530273)
('2/10/2017,7:0', 0.445, 24.799999237060547, 0.45799999237060546, 24.799999237060547)
('2/10/2017,7:10', 0.44799999237060545, 24.799999237060547, 0.45799999237060546, 24.799999237060547)
('2/10/2017,7:20', 0.46099998474121096, 24.799999237060547, 0.465, 24.799999237060547)
('2/10/2017,7:30', 0.46099998474121096, 24.799999237060547, 0.4779999923706055, 25.0)
('2/10/2017,7:40', 0.47099998474121096, 25.100000381469727, 0.4779999923706055, 25.0)
('2/10/2017,7:50', 0.47400001525878904, 25.200000762939453, 0.47900001525878905, 25.200000762939453)
('2/10/2017,8:0', 0.4620000076293945, 25.299999237060547, 0.47900001525878905, 25.200000762939453)
('2/10/2017,8:10', 0.4620000076293945, 25.299999237060547, 0.465, 25.600000381469727)
('2/10/2017,8:20', 0.4520000076293945, 25.700000762939453, 0.46099998474121096, 25.799999237060547)
('2/10/2017,8:30', 0.4520000076293945, 25.700000762939453, 0.46099998474121096, 25.700000762939453)
('2/10/2017,8:40', 0.44400001525878907, 26.100000381469727, 0.45799999237060546, 25.899999618530273)
('2/10/2017,8:50', 0.4420000076293945, 26.299999237060547, 0.45299999237060545, 26.100000381469727)
('2/10/2017,9:0', 0.44099998474121094, 26.200000762939453, 0.45, 26.299999237060547)
('2/10/2017,9:10', 0.4370000076293945, 26.5, 0.44599998474121094, 26.600000381469727)
('2/10/2017,9:20', 0.43200000762939456, 26.700000762939453, 0.43900001525878907, 27.0)
('2/10/2017,9:30', 0.43, 26.899999618530273, 0.43099998474121093, 27.299999237060547)
('2/10/2017,9:40', 0.41700000762939454, 27.399999618530273, 0.43, 27.299999237060547)
('2/10/2017,10:13', 0.39099998474121095, 29.100000381469727)
('2/10/2017,10:20', 0.3940000152587891, 29.100000381469727)
('2/10/2017,10:30', 0.37799999237060544, 29.5)
('2/10/2017,10:40', 0.3729999923706055, 29.600000381469727)
('2/10/2017,10:50', 0.365, 30.0)
('2/10/2017,11:0', 0.365, 30.0)
('2/10/2017,11:10', 0.3579999923706055, 30.299999237060547)
('2/10/2017,11:20', 0.3509999847412109, 30.399999618530273)
('2/10/2017,11:30', 0.3370000076293945, 31.0)
('2/10/2017,11:40', 0.3320000076293945, 30.899999618530273)
('2/10/2017,11:50', 0.3390000152587891, 31.200000762939453)
('2/10/2017,12:0', 0.3390000152587891, 31.100000381469727)
('2/10/2017,12:10', 0.32799999237060545, 31.399999618530273)
('2/10/2017,12:20', 0.32599998474121095, 31.399999618530273)
('2/10/2017,12:30', 0.32599998474121095, 31.399999618530273)
('2/10/2017,12:40', 0.315, 31.600000381469727)
('2/10/2017,12:50', 0.30200000762939455, 31.5)
('2/10/2017,13:0', 0.27700000762939453, 31.700000762939453)
('2/10/2017,13:10', 0.2879999923706055, 31.799999237060547)
('2/10/2017,13:20', 0.29, 31.899999618530273)
('2/10/2017,13:30', 0.2929999923706055, 32.0)
('2/10/2017,13:40', 0.29399999618530276, 32.0)
('2/10/2017,13:50', 0.29, 32.099998474121094)
('2/10/2017,14:0', 0.29, 32.20000076293945)
('2/10/2017,14:10', 0.28299999237060547, 32.400001525878906)
('2/10/2017,14:20', 0.28299999237060547, 32.400001525878906)
('2/10/2017,14:30', 0.27799999237060546, 32.400001525878906)
('2/10/2017,14:40', 0.27799999237060546, 32.400001525878906)
('2/10/2017,14:50', 0.2539999961853027, 32.79999923706055)
('2/10/2017,15:0', 0.2539999961853027, 32.79999923706055)
('2/10/2017,15:10', 0.2520000076293945, 32.70000076293945)
('2/10/2017,15:20', 0.26399999618530273, 32.5)
('2/10/2017,15:30', 0.25799999237060545, 32.599998474121094)
('2/10/2017,15:40', 0.2570000076293945, 32.5)
('2/10/2017,16:0', 0.2570000076293945, 32.70000076293945)
('2/10/2017,16:10', 0.255, 32.79999923706055)
('2/10/2017,16:20', 0.2539999961853027, 32.599998474121094)
('2/10/2017,16:30', 0.2539999961853027, 32.599998474121094)
('2/10/2017,16:40', 0.25299999237060544, 32.79999923706055)
('2/10/2017,16:50', 0.26, 33.0)
('2/10/2017,17:0', 0.255, 33.0)
('2/10/2017,17:10', 0.255, 33.0)
('2/10/2017,17:20', 0.2520000076293945, 32.900001525878906)
('2/10/2017,17:30', 0.26799999237060546, 32.599998474121094)
('2/10/2017,17:40', 0.275, 32.29999923706055)
('2/10/2017,17:50', 0.275, 32.29999923706055)
('2/10/2017,18:0', 0.27, 32.20000076293945)
('2/10/2017,18:10', 0.26899999618530274, 32.099998474121094)
('2/10/2017,18:20', 0.27399999618530274, 32.0)
('2/10/2017,18:30', 0.27700000762939453, 31.5)
('2/10/2017,18:40', 0.2929999923706055, 31.299999237060547)
('2/10/2017,18:50', 0.3060000038146973, 31.100000381469727)
('2/10/2017,19:0', 0.315, 31.0)
('2/10/2017,19:10', 0.315, 31.0)
('2/10/2017,19:20', 0.3160000038146973, 30.799999237060547)
('2/10/2017,19:30', 0.32599998474121095, 30.600000381469727)
('2/10/2017,19:40', 0.33, 30.299999237060547)
('2/10/2017,19:50', 0.33, 30.200000762939453)
('2/10/2017,20:0', 0.3320000076293945, 30.100000381469727)
('2/10/2017,20:10', 0.32799999237060545, 29.799999237060547)
('2/10/2017,20:20', 0.32799999237060545, 29.799999237060547)
('2/10/2017,20:30', 0.3390000152587891, 29.600000381469727)
('2/10/2017,20:40', 0.3390000152587891, 29.600000381469727)
('2/10/2017,20:50', 0.34400001525878904, 29.600000381469727)
('2/10/2017,21:0', 0.3629999923706055, 29.100000381469727)
('2/10/2017,21:10', 0.3629999923706055, 28.899999618530273)
('2/10/2017,21:20', 0.3679999923706055, 29.100000381469727)
('2/10/2017,21:30', 0.3679999923706055, 29.100000381469727)
('2/10/2017,21:40', 0.3820000076293945, 29.0)
('2/10/2017,21:50', 0.38599998474121094, 28.799999237060547)
('2/10/2017,22:0', 0.38599998474121094, 28.700000762939453)
('2/10/2017,22:10', 0.39, 28.700000762939453)
('2/10/2017,22:20', 0.3920000076293945, 28.700000762939453)
('2/10/2017,22:30', 0.395, 28.5)
('2/10/2017,22:40', 0.3970000076293945, 28.399999618530273)
('2/10/2017,22:50', 0.3990000152587891, 28.399999618530273)
('2/10/2017,23:0', 0.40299999237060546, 28.200000762939453)
('2/10/2017,23:10', 0.40200000762939453, 28.200000762939453)
('2/10/2017,23:20', 0.4159999847412109, 28.0)
('2/10/2017,23:30', 0.4159999847412109, 28.0)
('2/10/2017,23:40', 0.4179999923706055, 27.799999237060547)
('2/10/2017,23:50', 0.41700000762939454, 27.799999237060547)
('2/11/2017,0:0', 0.41700000762939454, 27.700000762939453)
('2/11/2017,0:10', 0.41900001525878905, 27.700000762939453)
('2/11/2017,0:20', 0.4229999923706055, 27.700000762939453)
('2/11/2017,0:30', 0.42700000762939455, 27.5)
('2/11/2017,0:40', 0.425, 27.600000381469727)
('2/11/2017,0:50', 0.4279999923706055, 27.5)
('2/11/2017,1:0', 0.4259999847412109, 27.5)
('2/11/2017,1:10', 0.41700000762939454, 27.5)
('2/11/2017,1:20', 0.41200000762939454, 27.600000381469727)
('2/11/2017,1:30', 0.4129999923706055, 27.5)
('2/11/2017,1:40', 0.42200000762939455, 27.399999618530273)
('2/11/2017,1:50', 0.43900001525878907, 27.299999237060547)
('2/11/2017,2:0', 0.43900001525878907, 27.299999237060547)
('2/11/2017,2:10', 0.44599998474121094, 27.200000762939453)
('2/11/2017,2:20', 0.43900001525878907, 27.200000762939453)
('2/11/2017,2:30', 0.42700000762939455, 27.100000381469727)
('2/11/2017,2:40', 0.42700000762939455, 27.100000381469727)
('2/11/2017,2:50', 0.43, 27.100000381469727)
('2/11/2017,3:0', 0.43, 27.100000381469727)
('2/11/2017,3:10', 0.4329999923706055, 27.0)
('2/11/2017,3:20', 0.43099998474121093, 26.899999618530273)
('2/11/2017,3:30', 0.43099998474121093, 26.899999618530273)
('2/11/2017,3:40', 0.4329999923706055, 26.899999618530273)
